014768003	|||	eng			MONEY, Walter.		Stray Notes on the Parish of Basildon, etc. [electronic resource]		Newbury : W. J. Blackett, [1889]					lsidyv3c36fc9d
014768006	|||	eng			MONTEITH, John, Minister of Glencairn.		The Parish of Glencairn. [electronic resource]		Glasgow : James Maclehose, 1876.					lsidyv3c408878
014768016	|||	eng			MURPHY, Edward Sterling.		A Sermon [on 1 John iii. 17] delivered in the Parish Church ... Sheffield, ... in obedience to the Queen's Letter, when a Collection was made for the relief of the distress in Ireland and ... Scotland. [electronic resource]		Sheffield : Ridge and Jackson, 1847.					lsidyv3c3d5530
014768023	|||	eng			NEWBON, Joseph.		The History of the Parish of St. Ann, Blackfriars, in the Ward of Farringdon within, in the City of London. [electronic resource]		London : Judd & Co., 1876.					lsidyv3c17c12c
014768063	|||	eng			PALEY, Frederick Apthorp.		Notes on twenty Parish Churches in the five mile circle round Peterborough. [electronic resource]		Peterborough, 1859.					lsidyv3c1ce43e
014768083	|||	eng			PHIPPS, Pownoll William.		Chalfont St. Giles past and present, with the parish church, Milton's cottage, and Jordans, the Quakers' burial ground ... Second edition. [electronic resource]		London : R. Bentley & Son, 1896.					lsidyv3c187b02
014768136	|||	eng					The Poll of the Election of two Barons to represent the Town and Port of Sandwich, and the Parishes of Deal and Walmer ... July 1847, etc. [electronic resource]		Sandwich : Hayward, [1847]					lsidyv3c25c39f
014768137	|||	eng					The Poll Book of the Election of a Baron to represent the Town and Port of Sandwich, and the Parishes of Deal and Walmer, taken ... May 1852, etc. [electronic resource]		Deal : E. F. Giraud, [1852].					lsidyv3c25bef8
014768171	|||	eng			SLATTER, John.		Some notes of the history of the Parish of Whitchurch, Oxon. [electronic resource]		London : Elliot Stock, 1895.					lsidyv3c447adb
014768209	|||	eng			TEMPLE, William, Incumbent of St. Margaret's, Forgue.		Notes on the Lands of Dumbreck & Orchardtown in the parish of Udny, and on some ancient weapons of the stone period, &c., found therein. [electronic resource]		Banff : Banffshire Journal, 1890.					lsidyv3c411255
014768242	|||	eng			W., A.		Brief historical notices of the parishes of Hurstbourn Priors and St. Mary Bourn, etc. Hampshire, and of the cross-legged effigy in the Church of St. Mary Bourn. [By A. W., i.e. A. Wilkinson.] [electronic resource]		London, 1861.					lsidyv3c2ef1f1
014768245	|||	eng			WADDINGTON, George, Dean of Durham.		A Farewell Sermon [on Acts XX. 25] preached in the Parish Church of Masham, 27th Dec. 1840. [electronic resource]		Ripon : W. Harrison, 1841.					lsidyv3c3d4dce
014768255	|||	eng			Wallace, Andrew.		The Parish of Govan: as it was and is. Lecture, etc. [electronic resource]		Glasgow, 1877.					lsidyv3c3eaad9
014768346	|||	eng					Correspondence, &c. [between a committee of the parishioners of St. Mary Bishophill Senior, York, and the Archbishop of York], in connection with the substitution of the Church of St. Clement, for the Parish Church of St. Mary, Bishophill Senior. [electronic resource]		York : J. L. Foster, 1877.				Church of St. Clement (YORK) -- Church of Saint Mary, Bishophill Senior (YORK)	lsidyv3c3d03dc
014774025	|||	eng			BULLER, John, Vicar of St. Just in Penwith.		A Statistical Account of the Parish of Saint Just in Penwith ... With some notice of its ecclesiastical and druidical antiquities. [electronic resource]		Penzance : R. D. Rodda, 1842.					lsidyv3c35a72d
014774048	|||	eng			DICK, Robert, Minister in Colinsburgh.		Annals of Colinsburgh with notes on Church life in Kilconquhar parish. [With plates.] [electronic resource]		Edinburgh : Andrew Elliot, 1896.					lsidyv3c405806
014774104	|||	eng			HOLMES, Thomas Scott.		The History of the Parish and Manor of Wokey, etc. [electronic resource]		Bristol : C. T. Jefferies & Sons, [1886?]					lsidyv3c4489bd
014774159	|||	eng					Ancient Churchwardens' accounts in the Parish of North Elmham, from A.D. 1539 to A.D. 1577. With descriptive notes and a glossary by A. G. Legge. [electronic resource]		Norwich : A. H. Goose, 1891.			Legge, Augustus George, 1835-1906.		lsidyv3c4eb415
014774166	|||	eng					Ecclesiastical Administration in Westminster. Letters to the Dean and Chapter of Westminster, exposing the evils connected with their domains ... By a Parishioner. Reprinted from the Patriot. [electronic resource]		London, 1842.					lsidyv393cb739
014774175	|||	und			POCOCK, Isaac.		John of Paris, a comic opera in two acts. [electronic resource]		London, 1814.					lsidyv34ec2911
014774181	|||	eng			PRIMROSE, James, Presbyterian Minister.		Strathbrock; or, the History and Antiquities of the Parish of Uphall. [electronic resource]		Edinburgh : A. Elliott, 1898.					lsidyv3c422800
014774234	|||	eng			WHALEY, Christopher.		The Parish of Askrigg, in the County of York, including Low Abbotside & Bainbridge, its history, associations, etc. [electronic resource]		London : Skeffington & Son, [1891]					lsidyv3c115399
014796198	|||	eng			BARRETT, Lucas.		Report on the Copper Veins of the Parish of Portland, Jamaica, etc. [electronic resource]		London : Taylor & Francis, 1861.					lsidyv3ca542fe
014796228	|||	eng			CHÉON, de.		L'Île de Chypre et la République française au congrès de Berlin. [electronic resource]		Paris, 1878.					lsidyv3c7099de
014796293	|||	eng			Lavallée, Joseph, 1747-1816.		Translation of the Report made to the Philotechnic Society of Paris, respecting J. Griffiths, ... an English traveller. [electronic resource]		London, 1804.					lsidyv3cc68618
014796325	|||	eng			Newton, T. W. (Thomas William), 1810-1889.		How we saw Belgium, the Rhine, the Meuse, and Paris, in fifteen days. [electronic resource]		London, 1860.					lsidyv3c9b052f
014796332	|||	eng				Paris (France)	From Paris to London on foot. A journal of October 1838. From the New Monthly Magazine for November 1859. [electronic resource]		London, 1859.					lsidyv3c9cb0ec
014796351	|||	eng					A short Account of the Churches, Schools and Charities in the Parish of St. Mary, Rotherhithe. [electronic resource]		London, [1848]					lsidyv3ce51817
014803805	|||	und			ALEXANDER, William, of the Aberdeen Free Press.		[Johnny Gibb of Gushetneuk, in the parish of Pyketillim; with glimpses of the parish politics about A.D. 1843. [By W. Alexander. Reprinted from the 'Aberdeen Free Press.']] [electronic resource]	[Another edition.] [With illustrations by George Reid, R.S.A., engraved by Amand-Durand.]	Edinburgh : David Douglas, 1880.			DURAND, Armand, Engraver.		lsidyv3969ea40
014803806	|||	und			ALEXANDER, William, of the Aberdeen Free Press.		[Johnny Gibb of Gushetneuk, in the parish of Pyketillim; with glimpses of the parish politics about A.D. 1843. [By W. Alexander. Reprinted from the 'Aberdeen Free Press.']] [electronic resource]	Seventh edition.	Edinburgh : David Douglas, 1881.					lsidyv31ae6be2
014803819	|||	eng			ALGER, John Goldworth.		The New Paris Sketch Book: manners, men, institutions. [electronic resource]		London : W. H. Allen & Co., 1887.					lsidyv3c024960
014803820	|||	fre					Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique. [electronic resource]		Paris, 1844-81.					lsidyv36b308ac -- lsidyv36b63527 -- lsidyv36d06327 -- lsidyv3615c04f -- lsidyv36f8ee83 -- lsidyv3674c479 -- lsidyv366035c3 -- lsidyv35f423f1 -- lsidyv366f69be -- lsidyv367b99b8 -- lsidyv36f422c5 -- lsidyv3cebf936 -- lsidyv36026636 -- lsidyv364ba8b2 -- lsidyv36ad42ce -- lsidyv3689f312 -- lsidyv36bb8060
014803889	|||	eng			ALLEN, Thomas, Topographer.		The History and Antiquities of the Parish of Lambeth, etc. L.P. [electronic resource]		London, 1827.					lsidyv3c16300e
